"","BV2_control_1_cell","BV2_TGFB_1_cell","BV2_IL10_1_cell","BV2_LPS_1_cell","BV2_control_2_cell","BV2_TGFB_2_cell","BV2_IL10_2_cell","BV2_LPS_2_cell","BV2_control_3_cell","BV2_TGFB_3_cell","BV2_IL10_3_cell","BV2_LPS_3_cell","BV2_control_4_cell","BV2_TGFB_4_cell","BV2_IL10_4_cell","BV2_LPS_4_cell"
"Magohb;Magoh",16.88738632,16.18914986,16.60000038,16.30951118,16.9524231,15.51892948,13.90767956,17.43835258,16.78749466,15.53296471,12.76190472,13.43775368,16.41073227,17.41030312,16.22607422,17.1022625
"Tap1",14.69243622,15.86582947,16.38773155,16.07969284,14.56366444,15.96052265,16.08306313,16.64329338,13.69915295,15.72184658,16.71986961,16.69859695,15.59959316,15.23567772,15.64258766,15.92174816
"Rab11b;Rab11a",18.23041534,18.20371056,18.67221069,18.23990631,18.01933098,18.47203255,18.44697762,19.16425323,18.38173676,18.48813057,18.57861519,17.63651085,16.75629616,17.84045792,18.48679543,18.82059097
"Tapbp",16.37853241,15.60652065,19.1331768,18.91619492,16.53301048,19.51610756,17.94569588,19.45324326,16.78123093,18.0364418,18.86154175,17.74753761,14.83313751,14.74814034,18.21238327,18.77181816
"Psmb8",17.24859428,17.60161209,18.32294083,17.82476044,17.88952827,18.119133,18.06513214,18.28906441,17.73423386,18.2056694,19.06052208,17.49856949,17.8895874,17.88970566,18.7698822,18.26842308
"Mtco2;COX2",20.52840805,20.25188065,21.23139954,19.96282196,20.14307976,20.62667084,19.74802971,20.29905128,20.72982597,20.6145916,20.63732529,19.63751984,19.46195984,20.73636627,20.40613365,19.99369049
"mt-Nd1;ND1;Mtnd1",13.81908131,14.63333607,14.47617722,15.41316509,16.14646912,15.7639389,15.39904404,16.74215126,14.80397987,16.27399635,15.94033623,15.53089428,15.55970573,14.67090893,15.02904987,14.94077206
"Cdv3",18.18954468,19.04222488,17.62663651,18.51729965,18.51941299,18.80901527,17.30438614,17.97157669,18.61590195,19.11184311,17.56257057,19.53859901,18.47151566,18.9018631,18.064291,18.63541412
"Tceb1",17.03284264,17.44701958,16.91017342,16.79322243,16.51743889,17.10635757,17.60110283,16.60870171,16.90970612,13.4294138,16.55848122,17.78711128,16.72813225,15.84254646,16.14396095,17.80454636
"Ktn1",15.21913052,15.04118824,15.09807301,15.36355305,15.95324135,15.168437,15.55892849,16.63693619,15.46696854,15.52227497,15.69065285,15.26169109,13.23238564,15.80334949,14.12732792,14.90797043
"Hdlbp",16.99125671,17.17484856,16.652565,16.81440735,17.14130974,17.22354889,16.40788269,17.48274422,17.08845711,16.90536308,18.74149323,16.96285057,16.19972992,17.09259224,16.92381477,16.78787613
"Fam134a",14.97933578,13.66054535,15.48837376,13.22116089,15.09440804,14.35999489,14.22985172,16.12090683,15.56167603,13.26002407,14.39504528,16.14274597,15.54427052,14.4343977,15.21670818,15.76789951
"Rpe",16.6580162,16.99391174,16.79004288,18.05282211,17.22345543,13.98698997,16.76136971,17.86942482,17.33245659,12.6075573,18.37296677,14.92585087,14.01889229,17.54660797,17.58292198,16.92717552
"Bzw1",17.14758301,15.61151505,17.11715698,15.00654507,16.95764542,15.33263111,17.1515522,17.71256638,16.3110218,14.96172142,15.82766533,13.89775085,15.25148201,17.09805298,16.97600555,13.84264469
"Casp8",15.18029785,15.15833378,15.62019157,17.81202698,15.38174534,15.39208221,15.63566113,15.71770287,16.27025795,16.68510437,17.41204071,15.86326694,15.76787376,15.37507343,16.99766541,15.81925583
"Dap",16.31463623,13.46917915,14.86772537,17.33123207,16.48230362,16.53941727,16.09459305,15.07330513,17.23444366,16.81440735,18.14648819,17.71859932,16.919981,13.25418186,17.13530922,13.13241863
"Mapkapk2",16.30335236,16.76564789,16.84854889,16.70563316,16.26457024,16.17747879,15.67123699,17.55374908,16.55044556,15.94539833,17.36768723,15.13675117,15.93514156,16.70035934,16.63707733,16.68400955
"Stat1",15.20143509,15.49962807,17.95372963,16.02158737,13.49669456,16.01661301,16.90324593,17.50175858,16.09514999,15.66558552,16.37259293,15.98530865,14.86355686,15.57580471,15.6529007,15.49088192
"Prrc2c",15.39693928,14.89931011,14.89855385,14.91232777,15.56872845,14.79826927,16.81415749,15.70284939,15.51960564,15.36094952,15.00220013,15.37741375,15.19525719,15.48491764,16.29612732,13.61263847
"Spata5;Katnal2",18.810709,18.79702759,18.15313721,18.34169197,17.66400337,18.41683006,18.80057144,17.98904037,18.8889637,18.61568642,13.73547363,19.43371582,18.87972069,19.05499649,18.73588562,18.93289566
"S100a13",13.98907089,13.38559246,15.37856579,14.67791176,13.16365337,15.12020397,13.45963669,15.20401955,14.35411167,12.61415768,15.58448982,12.30762768,13.81568336,13.00488758,18.86704254,13.30149651
"Tuba4a",13.92241573,14.67032146,16.93375969,18.61780548,14.59406185,17.89823532,20.22552681,16.95048714,13.7974577,17.52962875,13.09219742,19.3638649,18.84211731,13.07578182,16.80271912,17.13460732
"Macf1",14.83387852,15.02184772,14.67997456,15.15801811,14.64018822,15.61194706,14.14274502,15.11914349,15.2766695,15.7807188,15.71440697,14.49153996,15.22671318,16.16254807,15.0104847,14.71096802
"Gapdh",23.50178909,23.85490799,23.77966499,23.6866703,23.28883934,23.68720436,24.06652832,23.74077797,23.57207298,23.87408257,24.6296196,23.95943069,23.6408596,23.61436653,23.78895187,23.97211075
"Atg7",16.88452911,16.412817,17.79480934,17.14180756,16.56297302,16.50433731,17.62763405,17.35388756,16.81252861,16.74044037,17.80353928,15.96040916,16.11636353,16.89982986,16.55859947,16.68318748
"Tmco1",17.56985474,17.22872543,18.76198578,17.52083397,17.65277481,16.55331421,18.14355278,19.17560387,18.42701721,17.19940376,13.85048389,15.02559185,16.27848625,18.78411102,18.40132904,17.66219521
"Adrm1;Gm9774",15.70157719,15.79398441,15.51619244,16.04249382,16.21750259,15.74041367,16.08366585,16.42893219,16.44415665,16.2898922,16.58681107,16.49337006,16.33826637,16.30477905,16.43410683,15.89142799
"Naa15;Naa16",16.18336487,15.25819778,15.81855679,15.68420029,16.99788475,15.31125164,13.88633156,16.89994621,15.45535946,16.07888031,16.32340622,16.41119576,15.78680611,15.62019157,15.48129463,16.02342987
"Cnih4",14.24183178,15.0537138,16.29329109,14.51606941,16.94615173,13.65814781,14.34124088,17.552248,16.81840706,12.71082592,16.44273376,13.16522789,14.914814,14.73126602,13.62717247,15.27324963
"Rab3gap2",14.47078609,14.460392,14.82550526,14.73296261,14.33594894,15.05023098,14.57319355,14.6227951,14.77705002,15.31829548,15.15766239,15.16659451,15.32154083,14.85008907,14.89690018,14.86452484
"Rcor3;Rcor1",15.42583847,14.98361683,15.85096836,16.6504631,15.63117695,17.10931969,14.38937283,15.9856863,16.02526855,16.58502197,16.58449364,15.81643391,14.88437176,16.04300499,16.75551414,16.14288521
"Fnbp1",14.96405792,16.1891098,17.25275803,13.3788271,12.11452484,17.00008774,14.09898472,16.6718998,16.09975815,16.31270599,16.84708214,14.89615726,16.19269753,17.43688965,16.3578434,14.60930634
"Atp6v1h",17.20438004,17.76849365,18.95951462,18.55681992,17.88160324,18.14320374,18.77696609,18.18466187,17.64061165,17.89474678,19.01767349,17.73714256,17.35913277,17.53958321,18.67741776,18.02512932
"Fpgs",20.29401016,13.94977665,14.23895645,20.45040512,19.98328781,20.26487732,19.23118782,19.46889496,20.30619049,20.5731144,20.346138,20.5859127,20.60023308,13.01214409,20.05152321,20.35153961
"Osbpl9",14.78958416,14.77355099,16.59127426,15.55107689,13.95409203,14.93822765,16.46264648,17.07504082,13.35429192,15.4306488,14.55885601,15.87785912,15.57352924,15.45468521,17.12857819,12.62212753
"Cept1",16.55280495,16.49810219,16.93985558,16.30659485,16.33430862,16.75564384,17.00820923,17.42546272,16.27559662,13.19463539,14.20455647,14.63994408,15.83152962,16.88750648,16.31144714,16.32124138
"Vamp4",16.04891205,13.25852013,16.38769722,13.7706337,16.37909126,12.96720028,15.97716808,16.42377281,16.52406693,14.2379837,17.5357151,14.31006908,16.16923904,17.03981781,16.3550415,14.69940376
"Kpna4",17.38936234,17.2114315,17.14081001,17.82656097,17.21190643,16.71504974,15.84365082,17.40440941,16.88321686,16.60527611,18.34948921,17.58460999,16.86821938,17.16201782,16.48551559,17.29607391
"Rps27;Rps27l",17.95787239,18.00377083,17.60458183,18.39234352,17.95463943,17.76363945,17.70144272,17.82513237,18.09104347,18.11069679,17.56301689,17.35207748,16.82351685,18.40011978,17.72912979,18.65189934
"Ube2d3;Ube2d2",17.35388756,17.32544518,16.43135071,17.5140667,17.03241158,16.85647392,16.46959496,18.09954262,16.43265533,17.13109398,14.43162823,16.79740906,17.71216393,17.69649124,17.48620605,17.65794563
"Fdps",18.26425934,18.38671303,19.37979317,19.60025024,18.31703186,18.88046837,19.48365021,19.11255646,19.25421143,19.22333717,19.75909424,19.00766182,19.69779968,18.88016891,19.16746712,19.02893639
"Rbm8a",17.04526901,16.54351616,16.38399124,15.96149445,16.54127884,16.47859573,14.55782223,16.72013664,16.40615463,16.48560905,15.81528282,15.09015369,17.08700752,12.89416122,16.30187035,16.19364166
"Sh3glb1",16.30142403,15.69239712,17.08990479,16.48947144,16.33198357,17.7818718,17.83719635,16.94683838,16.13059044,17.2962532,17.62356758,16.12052155,13.22749519,17.86042023,17.17455482,15.98741913
"Snx27",16.31398201,16.06882095,16.62399483,17.21797752,16.27986526,16.45645142,13.58931065,16.74740601,15.76476765,16.00818825,17.22486877,16.3844471,16.05331039,16.19100189,16.2124958,15.89822388
"Fubp1",17.04644203,16.61941719,16.82152557,16.14031029,16.82065201,16.91765213,15.83474255,16.14326286,16.82413864,18.11217499,17.2039032,16.16223335,16.55074692,16.57663155,16.52539825,16.45744514
"Dhx15",16.80700302,15.81039619,16.67645264,14.40467548,16.95265007,16.2952137,17.77642059,17.11003494,15.71263409,15.82888031,17.18968964,15.64044285,15.85938931,15.7690115,15.67049026,16.31592751
"S100a4",18.96121216,20.96803665,19.43884087,19.73851204,19.56398582,20.86347771,18.80208778,18.41637611,21.08452988,21.02877426,20.21691132,19.77416992,22.0604229,19.78128052,19.76613426,20.03603935
"Nub1",16.95594406,16.46361923,17.20170212,17.32764053,17.20752907,17.55719376,16.08304214,17.24674034,17.18746758,17.18659782,17.93778801,16.99634171,16.83861351,17.22288895,16.79981232,16.69356918
"Eif4e",18.0237751,17.73562241,17.87747574,17.14220619,17.68503571,17.14250565,18.70401192,18.20079231,17.62421036,17.73489571,17.98403931,17.72480774,18.17489624,17.20457077,18.4774971,17.60754776
"Stap1",14.80624771,13.9356184,14.89315891,17.61525536,15.40597248,14.01975441,15.73526478,17.51722336,15.29483604,13.47848797,14.93465805,16.14266586,14.86466885,14.61073685,14.97025871,15.63168907
"Trpv6",21.82694817,12.60117245,14.06838512,10.79644489,22.2433033,11.66994762,13.92310905,11.90403271,11.94247818,10.60214233,14.67473507,13.52868748,12.30879402,13.96561909,14.35367107,11.42621231
"Ociad1",17.1060524,16.81415749,13.07756996,16.8621769,16.67658997,16.7647419,14.81357479,16.62656403,16.37493706,16.98548698,17.464674,17.24479103,13.92171478,14.84002972,14.39469242,16.83021736
"Nup205",16.44981003,15.8360014,17.28383064,16.79169655,17.50827408,16.62485313,16.73846245,18.24135017,17.01170731,17.77352524,17.90589142,16.78007889,18.11115646,16.84708214,17.31972504,16.05186653
"Tbl1xr1;Tbl1x",14.84063053,13.94692421,15.01954746,13.12739944,13.36806679,15.74782562,13.94495487,14.84998703,15.66038609,14.07162571,15.85858822,15.15951633,13.80136871,15.48252392,15.29569721,13.83650208
"",18.51668549,14.11181927,14.04367542,13.68256187,20.31495476,14.83928871,12.60414219,18.22463226,18.10875893,13.62863445,15.14505672,17.26883507,14.0891819,18.13043976,18.15649796,13.77140808
"Psph",15.88741112,13.74740314,14.22644806,13.66986179,15.16372871,15.18909073,14.30644512,15.45484543,14.23398304,14.62546253,15.19702435,15.73463058,15.05566406,12.66026306,15.23115253,14.95537758
"Nfu1",15.08451748,15.50763988,16.11664772,16.2370224,15.81455708,15.92599487,15.53655052,16.10412788,16.4669838,15.97214985,14.98467541,15.92703724,15.84749794,15.42701817,15.67700386,15.30135345
"Dera",14.85023594,14.2417593,15.49182224,15.89448643,15.05294991,16.56000519,14.97602749,15.33817959,15.53831005,16.04980659,16.20329094,13.78712845,15.18762302,15.25502872,15.41418934,15.40317822
"Lsm8",13.54577255,15.38174534,15.80087471,15.58055305,15.49785137,13.22441196,17.46674538,14.3334074,16.1106472,13.79271984,13.58072853,13.38004875,15.63982105,15.71783733,15.50264549,14.00884914
"Arl8b",18.53297997,18.38843727,19.42885971,18.32632446,18.47848511,18.84340668,18.40220451,18.90759468,19.2583828,18.09990311,19.79853249,17.70987892,17.01028824,18.57607079,18.93260765,17.97079086
"Tra2a",14.24584675,16.48538971,15.73126602,16.15730667,15.58736706,14.62147999,16.22947693,15.11056519,16.30901527,14.34077263,14.52332783,14.29472351,13.87139225,16.45212936,14.01282597,14.43315506
"Tmsb10",19.27068329,18.81290436,19.45414734,19.35061073,18.72743607,18.22213364,21.8809166,19.72274017,19.18570328,18.36670685,18.64807701,19.27460098,19.24532509,19.25162506,19.45452881,20.05510139
"Lsm5",15.29426193,16.171978,15.41204071,15.46422672,15.23178387,16.12924194,14.72962093,15.08514023,15.97915745,16.73304176,16.40199661,16.92346764,16.23440552,16.3896656,15.75978374,15.87293911
"Ppp6c",14.24300575,13.6206789,17.01486969,18.3175621,16.83429909,18.10200691,14.04784107,16.38513756,16.9090023,17.76939964,18.23257065,16.56425285,16.6745224,16.73198128,17.43086052,17.39154625
"Eif4a3;Gm8994",17.0111618,15.94120789,16.51472855,17.04761314,17.58526993,17.97185707,16.38035965,16.9466095,16.96623421,16.65745735,17.98693085,16.28897476,16.3241806,16.63410187,17.24237442,16.3973732
"Ndufa4",14.57161236,16.00930405,18.2810688,15.31525612,16.02784157,15.9159956,16.99380112,15.65004158,16.82773972,15.74088764,14.55102444,14.94457436,15.5348196,17.05367088,16.57157516,15.69138908
"Gng12",16.92404747,12.61316872,18.17942238,18.2421875,18.32025337,14.3301897,14.0595932,18.29849243,17.33402824,13.49643993,19.11227608,14.563447,13.93568707,13.53857899,17.86465836,17.57666206
"Ndufa9",17.10482407,14.97710133,17.33306885,15.94223976,17.13350296,17.15837288,16.83565521,17.11532784,17.07378578,17.846838,17.07598114,16.08000565,15.84357738,16.93629265,16.69560814,15.56834221
"Trmt1",16.12525177,16.59518433,15.44106388,16.37919235,15.95875645,16.4241333,14.6764698,15.87176132,14.92372608,16.36784172,16.5483551,16.87123108,16.947752,14.17965603,14.05093956,16.80271912
"Capns1",14.62975502,14.90289307,15.91503906,15.73444462,14.92587852,16.06054878,16.11542892,15.653265,15.48406792,16.48474503,16.64455986,16.56072044,15.95415115,15.39063931,15.88010979,15.79745865
"Thop1",16.90454102,15.74444008,16.41509819,16.90865135,17.13480759,16.29503441,16.59816933,16.48557854,16.79880142,15.17086411,17.30313873,16.7617588,16.21600723,16.90077209,17.487463,16.42070007
"Irg1",11.36342335,13.33273602,9.63877964,20.4623394,14.35140228,15.52787399,14.20944309,21.07913589,8.791032791,14.03725433,10.12631702,19.82621956,14.57058907,14.31502342,13.99026108,20.86317635
"Cebpz",17.67203903,15.75316429,16.27946472,16.26246262,17.2760334,16.33837128,13.59121513,17.23406982,14.04497337,16.97017288,17.49012947,15.22733974,15.9216547,16.34407043,14.50144291,14.49429321
"Prmt5",16.12080574,16.53717232,16.72160721,16.16739845,16.24125671,16.03533554,15.18243313,16.02864075,16.75915909,16.26678658,15.37534523,16.11719704,16.19737053,16.49532509,16.52166176,16.25909996
"Acy1",18.62363815,18.46710396,17.91415215,17.98820686,18.54408073,18.81644058,17.08555603,17.71203041,18.53438568,18.53560257,19.15457153,17.83083725,18.52075768,18.59721565,18.07268715,17.70644188
"Scly",16.1494503,15.93479633,15.78586102,14.22032452,16.00092506,14.12144852,15.73131943,16.12011719,16.54079437,14.31070328,17.67638397,15.40464306,16.52845383,14.26222801,16.00110054,16.24876213
"Ubxn4",16.29390335,17.83670425,16.90935326,16.98992729,16.79461861,17.12878036,16.67493629,17.47516251,17.45410728,17.9933033,18.19359207,18.11761284,17.32816696,17.23556519,16.49806976,17.64800644
"Acadl",15.98799706,15.46051979,17.34004211,16.99744415,16.73568916,16.52331734,18.15224457,17.08700752,17.39966202,16.51603889,17.32614899,15.12387848,16.5584507,17.06865311,17.48973846,16.06358528
"Pole3",16.46247101,17.11938667,15.20055389,16.6057682,15.18878174,16.51822281,14.98260403,15.90656185,16.06092834,16.03049469,15.532691,13.89568901,14.25620461,13.69479561,14.53617668,16.88393211
"Cmpk1",17.21276283,18.24321175,17.51306534,16.08416557,17.40773201,16.16121101,17.94386482,16.22492409,17.07001686,13.7917738,14.77040577,14.40666962,15.60182858,17.23528481,16.51779175,16.09908104
"Stt3b",14.10852814,12.99044895,14.6151123,14.74939823,14.60002899,14.65703964,15.47557545,17.37475014,14.3966713,14.80765724,15.29673672,14.19164467,14.72424698,14.34656143,14.42206478,14.78125763
"Pck2",18.64804077,17.98470688,18.4468174,17.4258709,18.62513733,18.4522171,18.09702301,17.67521286,17.98036194,18.12711716,18.61561584,17.24125671,17.51190758,18.50206947,17.53693008,17.17562675
"Lrp1",17.57348442,18.85489273,17.83805847,17.56271935,17.81521988,18.66684723,18.00256157,17.80322266,16.57850456,18.94125938,16.21015739,17.87135124,17.12615967,18.53149605,17.92404747,17.40806389
"Ckap5",15.55827141,16.69288826,15.2135601,16.28765869,15.75068092,16.3567791,13.65126419,15.73169041,15.80999374,15.861063,14.88407516,16.6504631,16.34838295,14.85457611,15.90317535,16.12315178
"Vcpip1",15.24000835,12.84652042,15.76230431,16.31774902,15.48645782,16.07338905,15.39379311,15.73145199,15.51797676,16.1354084,16.1336441,14.81137657,14.82331753,14.21739864,15.68307686,14.97866535
"Polr2a",15.28709888,15.98812962,15.39325619,15.49113274,15.66780472,15.37727833,14.53184128,14.8842659,15.94214821,15.06554222,16.19059563,13.44826221,15.41923618,15.58402252,14.43836308,15.19152164
"Lrrc40",15.16921997,13.90782928,15.36625385,14.0318737,16.16635895,15.12257862,15.46601295,15.59049892,15.42705059,14.78244591,13.55369377,13.38691616,13.72163296,14.89694691,14.97692204,13.84138584
"Pdia4",19.07827568,18.9124279,19.61028862,18.64755058,19.10262108,18.74891281,18.29140472,19.00894737,18.95662498,19.42826653,20.52027702,17.9616642,18.28622437,19.33050919,19.34544373,18.04302788
"Slc4a2",16.26040459,17.57192993,14.58131313,16.58259773,16.81202698,16.83614922,14.59023476,14.76996613,16.79207802,14.90385056,13.97740555,16.51577759,13.4746809,17.14539528,13.29838657,14.55063343
"Dab2",18.76926994,18.14330292,19.29732895,16.39062309,18.99178123,18.28906441,19.45851898,16.74464989,18.11446381,18.52405167,19.77571297,16.47370529,17.71940231,18.45907974,18.99382782,15.83145523
"Apeh",16.21431923,15.71623039,16.00926018,16.44621086,16.39850998,16.75616455,13.43093967,15.91331005,16.59525681,16.77017403,16.92393112,16.80901527,16.33568764,16.68852425,17.09434509,14.55592346
"Cyfip1;Cyfip2",22.67396355,23.2983799,22.87792587,22.71640778,23.31118965,22.80638504,23.43160629,24.11410141,24.54745483,23.05470467,20.19544411,22.58077049,23.27852631,23.52229118,22.75658035,22.95964241
"Arsb",13.61179066,17.04740143,16.52897263,16.10744095,13.97693539,17.59732437,14.63503742,15.23866558,13.18889141,16.98726463,14.11455631,14.27437592,13.06547546,17.08638573,15.92369843,15.36929035
"Cluh",17.27366829,16.17133331,15.65879726,15.90063095,17.33603668,16.21240044,17.24998283,16.6677494,16.57161903,16.59949112,15.23888874,16.58607674,16.06928253,15.80999374,15.40952396,16.09317017
"Rprd1b",15.5931282,14.60310459,16.0892849,15.95868874,15.61070728,15.79631805,15.81398201,15.62127876,16.69560814,15.46512032,17.33236885,14.4904747,15.11711502,15.94934845,16.10778999,15.42170334
"Cd68",18.80047607,18.15955544,19.17599297,17.86701393,18.77462006,19.24657822,17.84340668,18.14778137,18.46682549,18.02939415,18.43790627,17.18262672,17.21712494,19.43831253,18.80098152,17.92937469
"Smoc1",16.72693634,16.23543549,15.76815891,16.39663887,17.40074539,16.03941154,16.5523243,21.23122406,16.31309509,16.12690544,13.52698803,14.33481312,16.67383385,15.74209881,16.94145966,13.60971165
"Otof",14.07991982,16.33395958,16.69356918,16.9751091,17.22524452,17.01279831,14.31859207,16.7286644,16.97163391,15.61746788,17.16418076,16.12260628,13.90781307,14.51564693,17.62170792,17.05112457
"Eef1d",16.4937458,13.21228313,13.51237011,13.80913353,15.55830097,14.05938816,12.67630959,13.72579193,13.67209339,14.40862656,15.29951954,15.01186943,13.86940098,13.48179913,14.55602646,14.80336475
"Edc4",16.43526268,16.95299149,17.69778252,17.2583828,16.72640419,17.98303795,16.44444847,16.65982819,17.70326805,17.96578407,18.36700439,16.88619614,17.39857674,17.14658928,17.05377769,16.36038399
"Txndc5",17.13360405,16.3534565,17.64392662,16.18004417,17.07200623,16.3076458,17.17738152,17.55831528,17.46203804,16.19252396,17.088974,17.00623894,16.92868042,17.32781601,16.93847656,16.48004913
"Syncrip",18.51094246,17.72047234,18.0796299,18.93468094,18.71545219,18.6132431,18.34407997,18.96823311,18.64582634,18.68188286,19.22345543,18.35715675,18.63456345,18.34563828,18.587286,19.24411774
"Agpat1",15.57618904,15.84040928,15.30716515,15.5987215,15.24447536,15.4790535,14.16585159,16.0892849,15.51840687,16.29163933,16.04520416,16.20267868,14.60287952,15.68203449,15.32449722,15.96307659
"Ndufa12",15.56009388,16.4853096,15.37673569,16.05735779,15.85106564,15.87096691,15.92242146,14.32450676,16.19639015,14.32684231,13.3599472,14.76608849,16.05348015,15.41134548,14.85020065,13.72094917
"Celf2",14.02168846,15.74958134,14.29802608,16.26716995,13.21354103,16.33505821,13.45495796,14.32888126,16.03230476,16.22302055,17.26012993,15.63003922,13.40447712,14.6442461,15.65731907,15.75405216
"Kctd12",14.68628883,14.93244553,16.19767761,17.75303459,14.96285057,16.50458717,15.652565,17.67037964,13.74688911,15.61442184,14.47801113,16.32085419,15.5211401,15.17383289,16.23365784,16.6132431
"Fasn",18.35487747,18.97745895,19.23381233,19.07571983,19.14068413,19.23151588,19.22874832,19.63569641,19.8015976,19.28484726,20.26212692,19.21012497,18.69632149,19.29593849,19.21449471,18.73981285
"Mat2a",17.5250473,16.06278419,15.77638149,16.20396042,17.29813385,15.55371952,16.3649044,17.68188286,15.94327068,15.89325428,16.24088478,16.54609489,16.04782677,15.66002369,16.10964775,16.39561844
"Atxn2l",16.80322266,17.07315826,16.5320816,16.80334854,17.04206467,16.84095001,16.53250885,16.24403,16.91040802,17.75798798,16.89900208,17.48675728,16.380867,16.57803345,16.71370888,13.59560871
"Mapk3",17.68414497,18.41435432,18.57972145,18.73582077,18.30723572,19.0890255,17.35156059,17.84187126,18.45687485,19.30979156,18.62006187,17.43469429,17.84119606,18.70370674,18.09279823,18.34823608
"Ppp4c",13.83491135,15.69024372,15.82204819,15.37480164,14.2807436,16.52463341,16.17013931,16.40221214,16.36799431,15.86568451,16.59607315,15.85861206,15.73885727,14.47510147,15.07235909,15.65043449
"Bub3",17.04569626,15.48416233,14.69392204,15.26205826,16.54481316,12.96369076,13.02057076,16.25644875,17.50858307,12.69333363,17.57163429,15.74078178,13.60765743,17.69839287,16.61180305,14.11791134
"Spcs2",15.81785774,15.79024696,15.41872978,13.88786602,15.68838692,15.20758629,14.3609066,16.88106537,15.66225147,15.47119904,16.0102005,15.64636135,15.15339375,12.98754692,14.04493809,16.00860405
"Tyrobp",18.98041916,19.90778542,18.83244514,19.5118885,18.59350014,13.09801006,14.17091465,19.07164001,18.95597267,13.57679367,17.71980286,14.53049469,19.3668766,19.54340172,18.56892776,13.78710079
"Ptov1",20.06104851,14.49542332,19.17111397,19.7369442,20.7274189,13.87841797,19.65862656,20.7164917,19.93344307,13.86170959,19.55657768,18.85750771,19.23745728,20.06131363,14.71072197,19.34230042
"Dhcr7",14.75445843,13.95428753,13.87536526,13.22898388,13.61425018,13.57801914,13.80036354,15.7624855,13.73661327,14.57271004,14.90724182,13.96430397,13.70902634,12.95737457,14.4764843,13.76072025
"Psmc4",18.71421242,17.33018112,18.93893623,19.08568573,19.23794746,19.8116188,18.97036934,19.54464722,19.15170097,19.99865723,19.75886726,19.11408234,18.6317234,18.9791069,18.81978035,18.99964714
"Gps1",16.20428467,17.06128693,16.10031319,17.18659782,16.15386772,17.27312088,14.3256197,16.00136375,16.89746666,17.60037804,17.58688354,17.37356186,17.49310493,16.71048355,16.60731506,17.12141228
"Ryr3",16.83590317,16.7265377,16.61266708,13.66586685,16.45943069,16.66303062,13.86380959,14.72249794,17.07263565,13.10849285,17.05282211,14.92414474,16.1009903,15.3709774,15.3392601,13.55823517
"Cd81",19.60460091,18.48183823,19.30854797,13.92206383,18.81212044,19.20280266,18.69703484,19.91698074,14.23968601,14.22613621,20.08017731,14.00301933,12.9021349,19.24325752,13.45180035,19.232687
"Hebp1",16.10129929,16.64498329,16.40504265,15.71906757,16.5978775,16.67162323,13.99538517,16.72892952,16.11335564,16.8614502,14.3032198,14.36358738,16.26854134,17.15886688,16.70495796,16.04733658
"Rpl9",20.05880547,19.59705162,20.02431679,19.46943092,20.30485535,19.94763756,20.15437317,20.10059547,20.48453522,19.87843323,21.23882294,19.8016777,20.00525093,19.79854774,20.2329216,20.47070313
"Rnf213",13.59245682,13.85603619,17.222229,17.14270592,14.68967056,14.38127232,16.9058342,19.12744522,15.42564201,13.98459625,15.66030216,16.02252007,14.01463032,14.35486889,15.00435257,15.95358276
"Taldo1",18.13906097,17.29293251,18.71819878,17.67934227,17.20924377,18.00662231,18.94795036,18.13575935,16.82860756,17.02345085,14.08697891,17.48203659,17.32078362,17.74320412,17.86731529,18.19229317
"Ftl1;Ftl2",15.9818573,18.35913277,17.46084023,15.78943157,14.79423809,16.58028793,17.70576668,15.64410973,16.0237751,18.77635574,18.62667084,16.60782242,16.67906761,17.72873116,17.31690025,15.35576439
"Prosc",15.85389423,16.38766479,16.39496422,15.96758652,16.56869888,16.32618332,16.19625664,16.35801506,16.48903275,16.36348534,16.69628906,16.05001831,15.98399544,16.11735916,16.20214272,15.85936451
"Prpf40a",15.42534733,13.85506344,16.67755508,13.09585094,16.1523838,14.10698318,14.42163754,15.95205879,16.22092628,14.86319256,15.19434547,13.1628933,15.24570084,15.88300133,15.86258888,15.18126869
"Psma1",18.35758591,17.62905693,18.98843002,19.08069801,19.11367607,19.14355278,18.54924393,19.03636169,18.7524128,18.69418144,19.83961296,16.74123001,17.11349869,18.75322914,19.08283043,18.61425018
"Ldha",22.12921333,22.20042229,22.36214828,21.83649635,21.6905117,22.1958046,22.41887474,21.73838806,22.42298508,22.19433212,22.74457932,22.48765373,22.42913055,22.25225449,22.58696556,22.08718872
"Nup98",16.12678528,15.37537861,16.53310204,16.61769676,17.54736137,16.31681252,15.93792534,15.90867424,17.83633423,16.30445862,17.02410126,16.10041618,16.35378456,16.5935955,16.56721306,16.14043045
"Bax",17.50199318,18.70950699,17.8237648,18.22745705,17.92155075,17.88810158,19.12648773,18.17650414,18.64487648,18.07608414,18.53313255,17.83528519,18.81368637,18.30380821,17.50873947,18.25248146
"Bcat2",17.01214409,18.09522247,18.00695038,17.28897476,17.40740013,17.11237907,17.16378784,17.09496498,17.33786583,16.28173065,17.21095657,17.15787888,17.47903824,16.9972229,17.00382614,17.18582344
"Bag6",16.48137283,15.90107918,17.50035858,18.16869164,17.41261864,18.00914001,16.73819733,17.0592804,17.01878738,16.89486504,18.08498573,16.97678757,16.65452385,17.51198387,16.84058189,16.30460167
