Geneid,control cells_1,control cells_2,control cells_3,LPS cells_1,LPS cells_2,LPS cells_3
mmu-mir-3966,0,0,0,0,0,0
mmu-mir-3059,0,0,0,0,0,0
mmu-mir-6411,0,0,0,0,0,0
mmu-mir-763,0,0,0,0,0,0
mmu-mir-6412,0,0,0,0,0,0
mmu-mir-8104,1,0,0,0,3,5
mmu-let-7i,654,851,618,414,328,403
mmu-mir-378d,36,23,18,14,18,15
mmu-mir-26a-2,38,52,30,12,18,22
mmu-mir-546,0,0,0,0,0,0
mmu-mir-677,6850,10684,6702,2253,2868,3485
mmu-mir-6914,0,0,0,0,0,0
mmu-mir-6915,1,0,0,0,0,0
mmu-mir-8105,0,0,0,0,0,0
mmu-mir-6916,2,0,1,0,0,0
mmu-mir-6917,0,0,0,0,0,0
mmu-mir-3060,3,3,1,4,1,1
mmu-mir-6918,0,0,0,0,0,0
mmu-mir-7651,0,0,0,0,0,0
mmu-mir-1933,4,1,2,1,0,0
mmu-mir-6372,0,0,0,0,0,0
mmu-mir-216b,0,0,0,0,0,0
mmu-mir-216c,0,0,0,0,0,0
mmu-mir-216a,0,0,0,0,0,0
mmu-mir-217,0,0,0,0,0,0
mmu-mir-218-2,0,0,0,0,0,0
mmu-mir-103-1,124,122,107,51,37,29
mmu-mir-146a,315,434,346,10338,7072,8703
mmu-mir-8100,0,0,0,0,0,0
mmu-mir-7239,0,0,0,0,0,0
mmu-mir-340,86,125,76,56,36,55
mmu-mir-6919,0,2,0,0,0,0
mmu-mir-804,0,0,0,0,0,0
mmu-mir-3061,0,0,0,0,0,0
mmu-mir-6920,0,1,0,0,0,0
mmu-mir-7671,0,2,1,5,3,0
mmu-mir-7652,0,0,0,0,0,0
mmu-mir-6921,2,1,0,3,1,0
mmu-mir-6922,0,0,1,0,0,0
mmu-mir-5100,37,42,40,48,19,10
mmu-mir-744,646,668,562,205,149,195
mmu-mir-6923,0,0,0,0,0,0
mmu-mir-6406,0,0,0,0,0,0
mmu-mir-3062,0,0,0,0,0,0
mmu-mir-467f,0,0,0,0,0,0
mmu-mir-1934,4,7,0,9,7,3
mmu-mir-6924,1,0,0,0,0,0
mmu-mir-324,199,248,209,91,79,80
mmu-mir-497b,0,0,0,0,0,0
mmu-mir-497a,5,3,3,3,1,2
mmu-mir-195a,1,1,1,1,2,4
mmu-mir-7115,1,1,1,0,1,0
mmu-mir-6925,0,0,1,0,0,0
mmu-mir-6338,0,0,0,0,0,0
mmu-mir-6926,0,2,0,0,0,0
mmu-mir-212,6,7,0,1,4,4
mmu-mir-132,1,3,4,8,4,8
mmu-mir-22,28,34,37,34,33,37
mmu-mir-3971,0,0,0,0,0,0
mmu-mir-423,880,1079,764,506,433,458
mmu-mir-144,0,0,0,0,0,0
mmu-mir-451a,0,0,0,0,0,0
mmu-mir-451b,0,0,0,0,0,0
mmu-mir-7653,0,0,0,1,0,0
mmu-mir-193a,22,37,24,24,11,6
mmu-mir-365-2,49,72,59,15,19,20
mmu-mir-7679,4,0,0,0,0,0
mmu-mir-5110,0,0,0,0,0,0
mmu-mir-21a,440,644,506,1119,875,1092
mmu-mir-301a,30,39,42,20,12,23
mmu-mir-142b,1,1,0,0,0,0
mmu-mir-142a,851,1287,975,647,465,627
mmu-mir-378b,46,36,31,26,18,16
mmu-mir-3063,0,0,0,0,0,0
mmu-mir-196a-1,2,7,1,2,2,3
mmu-mir-10a,0,1,0,0,0,0
mmu-mir-152,0,2,1,0,0,1
mmu-mir-8103,0,1,0,0,0,0
mmu-mir-7235,0,0,1,0,0,0
mmu-mir-6927,0,0,0,1,0,0
mmu-mir-8102,4,2,1,2,4,2
mmu-mir-5119,0,0,0,0,0,0
mmu-mir-7116,0,0,0,0,0,1
mmu-mir-6928,0,0,0,0,0,0
mmu-mir-6929,1,0,0,0,0,1
mmu-mir-8101,5,1,3,14,4,5
mmu-mir-6930,0,0,0,0,0,0
mmu-mir-6931,0,0,1,0,0,0
mmu-mir-3064,0,0,0,0,0,1
mmu-mir-6932,0,0,0,0,0,0
mmu-mir-7223,0,0,0,0,0,0
mmu-mir-3968,16,43,21,19,10,19
mmu-mir-5621,1,0,0,1,0,1
mmu-mir-6516,735,1283,857,754,647,778
mmu-mir-6933,0,0,0,0,0,1
mmu-mir-6934,0,0,0,0,0,0
mmu-mir-1932,0,0,0,1,1,1
mmu-mir-338,7,7,8,2,3,0
mmu-mir-3065,0,0,0,0,0,0
mmu-mir-6935,0,0,1,0,0,1
mmu-mir-6936,2,1,2,0,0,1
mmu-mir-7236,0,0,0,0,0,0
mmu-mir-7675,0,0,0,0,0,0
mmu-mir-6387,0,0,0,0,0,0
mmu-mir-3066,1,0,0,0,1,0
mmu-mir-6538,3,7,1,21,37,39
mmu-mir-6937,2,0,0,2,2,6
mmu-mir-680-3,0,0,0,0,0,0
mmu-mir-5099,35148,59096,33218,51023,41767,39985
mmu-mir-1938,0,0,1,1,0,2
mmu-mir-5627,0,3,0,1,0,6
mmu-mir-1892,4,11,0,3,1,1
mmu-mir-681,0,0,0,0,0,0
mmu-mir-5101,0,0,0,0,0,0
mmu-mir-5135,0,0,0,0,0,0
mmu-mir-1843a,327,664,364,341,275,284
mmu-mir-3067,0,1,0,0,0,2
mmu-mir-6938,0,0,0,0,0,0
mmu-mir-3068,1286,2678,1278,1037,1146,1118
mmu-mir-8099-2,0,0,1,0,0,0
mmu-mir-1190,0,0,0,0,0,0
mmu-mir-1936,0,0,0,0,0,0
mmu-mir-3069,300,434,326,340,240,276
mmu-mir-342,18,26,19,34,30,36
mmu-mir-345,33,38,27,25,12,10
mmu-mir-1906-1,0,0,0,0,0,0
mmu-mir-770,0,0,0,0,0,0
mmu-mir-673,0,1,0,0,0,0
mmu-mir-493,0,0,0,0,0,0
mmu-mir-337,0,0,0,0,0,0
mmu-mir-3544,0,0,0,0,0,0
mmu-mir-540,0,0,0,0,0,0
mmu-mir-665,0,0,0,0,0,0
mmu-mir-3070-1,0,0,0,0,0,1
mmu-mir-3070-2,0,1,0,0,0,1
mmu-mir-431,0,0,0,0,0,0
mmu-mir-433,0,0,0,0,0,0
mmu-mir-127,0,0,0,0,0,0
mmu-mir-434,0,0,0,0,0,0
mmu-mir-432,0,0,0,0,0,0
mmu-mir-3071,0,0,0,0,0,0
mmu-mir-136,0,0,0,0,0,0
mmu-mir-341,0,0,0,0,0,0
mmu-mir-1188,0,0,0,0,0,0
mmu-mir-370,0,0,0,0,0,0
mmu-mir-882,0,0,0,0,0,0
mmu-mir-379,0,0,0,0,0,0
mmu-mir-411,0,0,0,0,0,0
mmu-mir-299a,0,0,0,1,0,0
mmu-mir-299b,0,0,0,0,0,0
mmu-mir-380,0,0,0,0,0,0
mmu-mir-1197,0,0,0,0,0,0
mmu-mir-323,0,0,2,0,0,0
mmu-mir-758,0,0,0,0,0,0
mmu-mir-329,0,0,0,0,0,0
mmu-mir-494,0,0,0,0,0,0
mmu-mir-679,0,0,0,0,0,0
mmu-mir-1193,0,0,0,2,0,0
mmu-mir-666,0,0,0,0,0,0
mmu-mir-543,0,0,0,0,0,0
mmu-mir-495,0,0,0,0,0,0
mmu-mir-667,0,0,0,0,0,0
mmu-mir-376c,0,0,0,0,0,0
mmu-mir-654,0,0,0,0,0,0
mmu-mir-376b,0,0,0,0,0,0
mmu-mir-376a,0,0,0,0,0,0
mmu-mir-300,0,0,0,0,0,0
mmu-mir-381,0,0,0,0,0,0
mmu-mir-487b,0,0,0,0,0,0
mmu-mir-539,0,0,0,0,0,0
mmu-mir-544,0,0,0,0,0,0
mmu-mir-382,0,0,0,2,1,0
mmu-mir-134,0,0,0,0,0,0
mmu-mir-668,0,0,0,0,0,0
mmu-mir-485,0,0,0,0,0,0
mmu-mir-453,0,0,0,0,0,0
mmu-mir-154,0,0,0,0,0,0
mmu-mir-496a,0,0,0,0,0,0
mmu-mir-377,0,0,0,0,0,0
mmu-mir-541,0,0,0,0,0,0
mmu-mir-409,0,0,0,0,0,0
mmu-mir-412,0,0,0,0,0,0
mmu-mir-369,0,0,0,0,0,0
mmu-mir-410,0,0,0,0,0,0
mmu-mir-3072,0,0,0,0,0,0
mmu-mir-1247,3,2,3,4,8,11
mmu-mir-3073a,0,0,0,0,0,0
mmu-mir-3073b,0,0,0,0,0,0
mmu-mir-203,2,0,0,0,2,0
mmu-mir-6939,5,0,1,1,0,0
mmu-mir-6940,0,0,0,0,0,0
mmu-mir-6941,0,1,0,0,0,0
mmu-mir-7094-1,0,0,0,0,0,0
mmu-mir-7094-2,0,0,0,0,0,0
mmu-mir-6388,0,0,0,0,0,0
mmu-mir-153,0,1,0,0,0,0
mmu-mir-466i,5,3,4,3,5,1
mmu-mir-6942,0,0,0,0,0,0
mmu-mir-1896,1,0,0,0,1,2
mmu-mir-1983,18,28,26,46,48,52
mmu-mir-6368,0,0,0,0,0,0
mmu-mir-5124a,0,0,0,0,0,0
mmu-let-7d,4774,6454,4978,2648,1992,2269
mmu-let-7f-1,18073,24850,18896,11948,8844,10776
mmu-let-7a-1,33105,45800,34138,21814,16462,19450
mmu-mir-683-1,0,0,0,1,0,0
mmu-mir-683-2,0,0,0,0,0,0
mmu-mir-6943,0,0,0,0,0,1
mmu-mir-6944,0,0,0,0,0,0
mmu-mir-6945,0,0,0,0,0,0
mmu-mir-874,0,0,0,1,0,0
mmu-mir-6369,0,0,0,0,0,0
mmu-mir-7a-1,180,204,164,280,169,222
mmu-mir-713,0,0,0,1,1,0
mmu-mir-23b,6175,8663,6739,3816,2473,3545
mmu-mir-27b,269,254,241,133,103,127
mmu-mir-3074-1,1,0,2,1,0,3
mmu-mir-24-1,5492,7089,5693,2548,1992,2364
mmu-mir-466f-4,3,3,6,2,6,2
mmu-mir-692-3,794,1449,698,769,477,567
mmu-mir-682,345,526,295,305,216,234
mmu-mir-3961,0,0,0,0,0,0
mmu-mir-9-2,0,0,3,0,0,0
mmu-mir-5624,0,0,0,0,0,0
mmu-mir-582,2,0,2,0,2,1
mmu-mir-1904,0,0,0,0,0,0
mmu-mir-449c,0,0,0,0,0,0
mmu-mir-449b,0,0,0,0,0,0
mmu-mir-449a,0,0,0,0,0,0
mmu-mir-5124b,0,0,0,0,0,0
mmu-mir-6946,1,0,0,2,0,0
mmu-mir-7210,0,0,0,0,0,0
mmu-mir-3075,0,0,0,0,0,0
mmu-mir-7672,0,0,1,0,0,0
mmu-mir-6947,0,0,0,0,0,0
mmu-mir-3076,2,3,4,4,0,4
mmu-mir-346,0,0,0,0,0,0
mmu-mir-327,0,0,0,0,0,0
mmu-mir-5131,6,6,3,3,0,1
mmu-mir-378c,200,206,155,97,89,80
mmu-mir-686,3,2,2,3,1,5
mmu-mir-6948,0,1,0,0,3,0
mmu-mir-208a,0,0,0,0,0,0
mmu-mir-208b,0,0,0,0,0,0
mmu-mir-6949,0,0,0,0,0,0
mmu-mir-3077,0,0,3,1,0,0
mmu-mir-719,0,2,0,0,0,0
mmu-mir-16-1,150,160,153,99,79,94
mmu-mir-15a,38,41,43,6,9,16
mmu-mir-8098,1,4,2,5,3,2
mmu-mir-6541,0,0,0,0,0,0
mmu-mir-598,0,4,0,1,1,1
mmu-mir-124-1,0,0,1,4,1,0
mmu-mir-3078,0,0,0,0,0,0
mmu-mir-6539,0,0,3,2,0,0
mmu-mir-6950,0,0,0,0,0,0
mmu-mir-320,73,75,71,234,311,328
mmu-mir-687,0,0,0,0,0,0
mmu-mir-1971,0,0,0,0,0,0
mmu-mir-759,0,0,0,0,0,0
mmu-mir-5130,5,6,5,4,1,4
mmu-mir-6390,1,3,0,0,0,1
mmu-mir-17,221,221,170,116,93,103
mmu-mir-18a,23,39,29,16,17,19
mmu-mir-19a,201,294,240,193,136,163
mmu-mir-20a,20,20,12,14,4,8
mmu-mir-19b-1,334,497,390,323,221,261
mmu-mir-92a-1,793,943,725,603,489,505
mmu-mir-6239,1,1,0,4,8,14
mmu-mir-6241,0,0,0,0,0,0
mmu-mir-6391,0,0,0,0,0,0
mmu-mir-1898,0,0,0,0,0,0
mmu-mir-7212,0,0,0,0,0,0
mmu-mir-7117,1,0,2,0,0,0
mmu-mir-3964,0,0,0,0,0,0
mmu-mir-599,0,0,0,0,0,0
mmu-mir-875,0,0,0,0,0,0
mmu-mir-8097,0,1,2,2,1,0
mmu-mir-6951,2,0,1,0,0,0
mmu-mir-1907,0,0,0,0,0,0
mmu-mir-28c,2,2,5,3,0,8
mmu-mir-30b,25,25,21,13,13,12
mmu-mir-30d,47,64,39,22,22,26
mmu-mir-151,172,242,175,98,99,112
mmu-mir-6952,0,1,0,0,0,0
mmu-mir-1942,0,0,0,0,0,0
mmu-mir-6953,2,5,0,0,1,2
mmu-mir-3079,0,0,0,0,0,0
mmu-mir-6954,0,2,1,0,0,0
mmu-mir-7676-1,1,0,0,0,0,0
mmu-mir-7676-2,1,0,0,0,1,0
mmu-mir-6955,0,0,0,0,0,0
mmu-mir-6956,0,1,0,0,0,0
mmu-mir-1943,1,1,0,0,0,3
mmu-mir-7213,2,3,1,0,1,3
mmu-mir-6957,0,0,0,0,0,0
mmu-mir-5113,4,0,3,0,3,0
mmu-mir-33,1,9,7,1,4,7
mmu-mir-7684,0,0,0,0,0,0
mmu-mir-3080,0,0,0,0,0,0
mmu-mir-6392,0,0,0,0,0,0
mmu-mir-1249,17,26,16,4,0,3
mmu-let-7c-2,11046,16206,11309,6589,5268,5961
mmu-let-7b,4558,6848,4601,2474,2062,2220
mmu-mir-6393,0,0,0,0,0,0
mmu-mir-7118,0,0,0,0,1,0
mmu-mir-6958,0,1,0,0,0,0
mmu-mir-6959,2,1,0,0,0,0
mmu-mir-7648,2,1,0,1,0,0
mmu-mir-1291,136,266,161,122,161,120
mmu-mir-6960,0,1,0,0,2,0
mmu-mir-6961,0,0,0,0,0,0
mmu-mir-6962,0,0,0,0,0,0
mmu-mir-1941,0,0,0,0,0,0
mmu-mir-688,1,4,6,1,6,7
mmu-mir-196a-2,1,7,1,2,2,3
mmu-mir-615,6,6,7,1,1,2
mmu-mir-148b,18,19,20,10,11,9
mmu-mir-6963,0,0,0,0,0,0
mmu-mir-6364,0,0,0,0,0,0
mmu-mir-1945,0,0,0,0,0,0
mmu-mir-193b,0,2,2,0,0,0
mmu-mir-365-1,41,66,53,12,15,16
mmu-mir-6365,0,0,0,0,0,0
mmu-mir-484,105,122,75,39,27,29
mmu-mir-130b,589,737,585,244,202,233
mmu-mir-301b,37,45,43,16,12,25
mmu-mir-6366,0,0,0,0,0,0
mmu-mir-1306,41,47,39,6,16,22
mmu-mir-3618,0,0,0,0,3,3
mmu-mir-185,129,143,117,54,33,44
mmu-mir-1224,0,0,1,0,1,0
mmu-mir-7680,0,0,0,0,0,0
mmu-mir-8095,0,0,0,0,0,0
mmu-mir-6362,0,0,0,0,0,0
mmu-mir-28a,103,158,102,70,47,71
mmu-mir-690,20,51,28,31,15,11
mmu-mir-1946a,0,0,0,0,0,0
mmu-mir-1947,0,0,0,0,0,0
mmu-mir-6540,0,0,0,0,0,0
mmu-mir-568,0,0,0,0,0,0
mmu-mir-3470b,0,0,0,0,0,0
mmu-mir-3081,0,0,0,0,0,0
mmu-mir-6363,0,0,0,0,0,0
mmu-mir-5118,0,0,0,0,0,0
mmu-mir-691,0,0,0,0,0,0
mmu-mir-99a,0,2,2,0,1,0
mmu-let-7c-1,10950,15950,11153,6506,5235,5838
mmu-mir-125b-2,14,22,17,4,5,3
mmu-mir-155,7,8,9,79,60,57
mmu-mir-6367,0,0,0,0,0,1
mmu-mir-802,0,0,0,0,0,0
mmu-mir-6964,0,0,1,0,0,0
mmu-mir-692-1,487,821,384,463,305,313
mmu-mir-99b,0,0,0,0,0,0
mmu-let-7e,6534,9329,6842,4519,3431,3950
mmu-mir-125a,0,0,1,0,0,0
mmu-mir-5125,1,0,0,0,0,0
mmu-mir-5134,0,0,1,2,0,2
mmu-mir-6965,0,0,2,0,2,0
mmu-mir-3547,0,0,0,0,0,1
mmu-mir-6966,0,0,0,0,0,0
mmu-mir-3082,1,1,0,0,0,1
mmu-mir-6967-1,0,3,0,1,0,0
mmu-mir-6968,0,0,0,0,0,0
mmu-mir-3083,0,1,0,0,0,0
mmu-mir-7677,0,0,0,0,0,0
mmu-mir-7214,0,0,0,0,0,0
mmu-mir-7216,0,0,0,0,0,0
mmu-mir-7217,0,0,0,0,0,0
mmu-mir-7218,0,0,0,0,0,0
mmu-mir-6969,0,0,0,0,0,0
mmu-mir-7667,0,0,0,0,0,0
mmu-mir-6967-2,0,3,0,1,0,0
mmu-mir-219a-1,2,2,5,4,3,1
mmu-mir-219c,0,1,1,0,0,0
mmu-mir-6971,3,0,0,0,0,0
mmu-mir-6970,1,0,1,0,0,0
mmu-mir-6972,0,0,0,0,0,0
mmu-mir-6973a,0,0,0,0,0,0
mmu-mir-6974,0,0,0,0,0,0
mmu-mir-6975,1,0,0,1,0,0
mmu-mir-8094,1,0,1,0,0,0
mmu-mir-1894,0,0,0,0,0,1
mmu-mir-877,152,174,132,72,62,62
mmu-mir-693,0,0,0,0,0,0
mmu-mir-6976,0,2,0,0,1,1
mmu-mir-7b,90,78,70,159,86,128
mmu-mir-6977,0,0,0,0,0,1
mmu-mir-6978,0,0,0,0,0,1
mmu-mir-6420,0,0,0,0,1,0
mmu-mir-5709,0,0,0,0,0,0
mmu-mir-1195,0,0,0,2,1,1
mmu-mir-1893,2,2,0,3,0,0
mmu-mir-133a-1,0,0,0,0,0,0
mmu-mir-1b,2,5,1,1,0,0
mmu-mir-1a-2,0,1,0,0,1,0
mmu-mir-1901,0,2,0,0,1,0
mmu-mir-1948,0,0,0,0,0,0
mmu-mir-6360,0,0,0,0,0,0
mmu-mir-187,0,0,0,0,0,0
mmu-mir-6361,0,0,0,0,0,0
mmu-mir-1949,1258,3228,1505,1978,1448,2101
mmu-mir-6979,0,0,0,0,1,0
mmu-mir-6981,2,3,0,0,1,0
mmu-mir-6980,0,0,1,0,0,1
mmu-mir-1258,0,0,0,0,0,0
mmu-mir-6355,0,0,0,0,0,0
mmu-mir-5107,2,5,3,2,1,1
mmu-mir-7220,0,0,0,0,0,0
mmu-mir-6982,0,0,0,0,0,0
mmu-mir-6983,0,0,0,0,0,0
mmu-mir-378a,391,441,338,182,192,163
mmu-mir-145a,0,0,0,0,2,0
mmu-mir-143,0,1,0,1,3,0
mmu-mir-122,1,0,0,0,2,0
mmu-mir-694,0,0,0,0,0,0
mmu-mir-7219,1,1,2,2,0,0
mmu-mir-6356,0,0,0,0,0,0
mmu-mir-145b,0,0,0,0,0,0
mmu-mir-6357,0,0,0,0,0,0
mmu-mir-6358,0,0,0,0,0,0
mmu-mir-5127,0,0,0,0,0,0
mmu-mir-5112,0,1,0,0,0,0
mmu-mir-6359,0,0,1,0,1,0
mmu-mir-6984,0,2,2,1,0,0
mmu-mir-6985,0,1,0,0,0,0
mmu-mir-6986,0,2,0,0,1,0
mmu-mir-6987,1,0,0,0,0,1
mmu-mir-6988,0,2,0,0,0,0
mmu-mir-194-2,11,7,3,2,3,6
mmu-mir-192,6,7,6,8,4,2
mmu-mir-6989,0,1,0,0,0,1
mmu-mir-5046,0,0,0,0,0,0
mmu-mir-6990,0,0,0,0,0,0
mmu-mir-6991,0,1,0,0,0,0
mmu-mir-6992,0,0,0,0,0,0
mmu-mir-5136,138,269,155,92,93,94
mmu-mir-6993,0,0,0,0,3,0
mmu-mir-6994,0,0,3,2,1,0
mmu-mir-496b,0,0,0,0,0,0
mmu-mir-204,0,0,0,1,0,0
mmu-mir-1192,0,0,0,0,0,0
mmu-mir-3084-1,850,1417,909,820,774,780
mmu-mir-101b,41,45,26,27,13,32
mmu-mir-3970,3,1,6,4,0,6
mmu-mir-107,102,88,81,42,32,24
mmu-mir-1950,0,0,0,0,0,0
mmu-mir-8092,1,0,0,2,0,0
mmu-mir-8091,5,0,0,0,0,2
mmu-mir-3085,0,0,0,0,0,0
mmu-mir-5114,12,14,17,7,6,4
mmu-mir-6405,0,0,0,0,0,0
mmu-mir-146b,286,384,291,4096,2789,3510
mmu-mir-6995,0,0,0,0,0,0
mmu-mir-8090,0,0,0,0,0,0
mmu-mir-6407,0,0,0,0,0,0
mmu-mir-6715,0,0,0,0,0,0
mmu-mir-5623,0,0,0,0,0,0
mmu-mir-3086,2,0,1,0,0,1
mmu-mir-3084-2,848,1419,910,821,776,779
mmu-mir-466m,11,17,14,11,0,5
mmu-mir-466f-1,15,6,7,0,6,4
mmu-mir-669f,122,114,87,33,35,31
mmu-mir-669e,9,5,6,9,4,3
mmu-mir-669b,21,18,26,10,10,12
mmu-mir-669d,19,27,23,18,15,29
mmu-mir-466f-2,27,13,16,8,9,11
mmu-mir-669l,113,146,99,114,57,85
mmu-mir-669d-2,24,24,21,19,16,28
mmu-mir-466f-3,29,24,17,21,26,25
mmu-mir-297a-2,28,35,35,18,14,15
mmu-mir-466o,32,29,16,16,8,11
mmu-mir-467c,51,71,42,41,23,31
mmu-mir-466b-1,317,311,261,199,169,138
mmu-mir-669a-3,89,103,82,52,39,59
mmu-mir-669k,2,2,0,3,2,3
mmu-mir-467a-1,189,232,193,73,72,84
mmu-mir-466b-8,361,328,260,195,163,161
mmu-mir-669a-1,298,274,230,105,103,96
mmu-mir-669g,0,0,0,0,0,0
mmu-mir-669j,5,7,4,6,0,3
mmu-mir-467a-2,187,238,184,89,59,81
mmu-mir-466e,377,311,261,198,131,167
mmu-mir-669a-4,326,273,232,109,105,122
mmu-mir-467b,81,108,54,40,23,41
mmu-mir-466c-1,539,488,466,223,186,195
mmu-mir-669a-5,345,267,208,119,98,129
mmu-mir-467a-3,210,254,179,87,65,83
mmu-mir-466c-2,517,513,450,202,195,182
mmu-mir-669a-6,332,285,228,108,103,121
mmu-mir-467a-4,224,248,214,88,62,71
mmu-mir-466b-4,319,318,219,187,123,153
mmu-mir-669a-7,317,301,224,104,104,111
mmu-mir-467a-5,213,243,188,90,56,95
mmu-mir-466b-5,333,277,260,218,143,161
mmu-mir-669p-1,94,96,71,71,50,68
mmu-mir-467a-6,196,240,210,98,55,99
mmu-mir-466c-3,542,495,446,219,191,203
mmu-mir-669a-8,292,291,236,122,113,117
mmu-mir-467a-7,202,253,191,100,55,87
mmu-mir-466b-6,315,278,234,175,147,131
mmu-mir-669a-9,340,284,246,120,102,109
mmu-mir-467a-8,214,239,195,90,46,92
mmu-mir-466b-7,344,296,264,179,170,150
mmu-mir-669p-2,94,119,96,81,43,69
mmu-mir-467a-9,192,252,194,88,66,87
mmu-mir-466b-2,325,314,255,175,143,161
mmu-mir-669a-10,307,305,225,105,93,115
mmu-mir-669a-11,338,287,221,105,108,119
mmu-mir-467a-10,193,243,191,98,63,94
mmu-mir-466b-3,286,247,212,164,114,139
mmu-mir-669a-12,356,287,208,131,116,119
mmu-mir-467e,113,130,120,79,63,91
mmu-mir-466p,309,292,272,177,131,143
mmu-mir-467d,175,210,150,73,63,70
mmu-mir-466a,275,289,252,181,149,150
mmu-mir-297c,164,221,174,66,44,74
mmu-mir-669c,1086,1447,1015,638,439,559
mmu-mir-669a-2,341,270,231,105,111,131
mmu-mir-297b,178,193,179,71,61,80
mmu-mir-466d,233,213,221,122,92,99
mmu-mir-669m-1,36,44,28,21,8,18
mmu-mir-669m-2,35,48,26,19,7,19
mmu-mir-466n,60,57,67,18,13,11
mmu-mir-669o,323,311,227,129,104,126
mmu-mir-466g,15,19,14,8,12,8
