Geneid,control cells_1,control cells_2,control cells_3,IL-10 cells_1,IL-10 cells_2,IL-10 cells_3
mmu-mir-1197,0,0,0,0,0,0
mmu-mir-323,0,0,2,0,0,0
mmu-mir-758,0,0,0,0,0,0
mmu-mir-329,0,0,0,0,0,0
mmu-mir-494,0,0,0,0,0,0
mmu-mir-679,0,0,0,0,0,0
mmu-mir-1193,0,0,0,0,0,0
mmu-mir-666,0,0,0,0,0,0
mmu-mir-543,0,0,0,0,1,0
mmu-mir-495,0,0,0,0,0,0
mmu-mir-667,0,0,0,0,0,0
mmu-mir-376c,0,0,0,0,0,0
mmu-mir-654,0,0,0,0,0,0
mmu-mir-376b,0,0,0,0,0,0
mmu-mir-376a,0,0,0,0,0,0
mmu-mir-300,0,0,0,0,0,0
mmu-mir-381,0,0,0,0,0,0
mmu-mir-487b,0,0,0,0,0,0
mmu-mir-539,0,0,0,0,0,0
mmu-mir-544,0,0,0,0,0,0
mmu-mir-382,0,0,0,0,0,0
mmu-mir-134,0,0,0,0,0,0
mmu-mir-668,0,0,0,0,0,0
mmu-mir-485,0,0,0,0,0,0
mmu-mir-453,0,0,0,0,0,0
mmu-mir-154,0,0,0,0,0,0
mmu-mir-496a,0,0,0,0,0,0
mmu-mir-377,0,0,0,0,0,0
mmu-mir-541,0,0,0,0,0,0
mmu-mir-409,0,0,0,0,0,0
mmu-mir-412,0,0,0,0,0,0
mmu-mir-369,0,0,0,0,0,0
mmu-mir-410,0,0,0,0,0,0
mmu-mir-3072,0,0,0,0,0,0
mmu-mir-1247,3,2,3,3,6,1
mmu-mir-3073a,0,0,0,0,0,0
mmu-mir-3073b,0,0,0,0,0,0
mmu-mir-203,2,0,0,0,1,0
mmu-mir-6939,5,0,1,1,1,1
mmu-mir-6940,0,0,0,1,0,1
mmu-mir-6941,0,1,0,0,0,0
mmu-mir-7094-1,0,0,0,0,0,0
mmu-mir-7094-2,0,0,0,0,0,0
mmu-mir-6388,0,0,0,0,0,0
mmu-mir-153,0,1,0,0,0,0
mmu-mir-466i,5,3,4,7,4,2
mmu-mir-6942,0,0,0,0,0,0
mmu-mir-1896,1,0,0,0,1,0
mmu-mir-1983,18,28,26,27,22,30
mmu-mir-6368,0,0,0,0,0,0
mmu-mir-5124a,0,0,0,0,0,0
mmu-let-7d,4774,6454,4978,5706,5785,5870
mmu-let-7f-1,18073,24850,18896,25085,25369,25911
mmu-let-7a-1,33105,45800,34138,45945,48319,48963
mmu-mir-683-1,0,0,0,0,0,0
mmu-mir-683-2,0,0,0,0,0,0
mmu-mir-6943,0,0,0,2,0,0
mmu-mir-6944,0,0,0,0,1,0
mmu-mir-6945,0,0,0,0,0,0
mmu-mir-874,0,0,0,1,0,0
mmu-mir-6369,0,0,0,0,0,0
mmu-mir-7a-1,180,204,164,259,168,216
mmu-mir-713,0,0,0,0,0,0
mmu-mir-23b,6175,8663,6739,8793,8130,8912
mmu-mir-27b,269,254,241,360,293,355
mmu-mir-3074-1,1,0,2,1,3,5
mmu-mir-24-1,5492,7089,5693,6579,6047,6139
mmu-mir-466f-4,3,3,6,7,7,2
mmu-mir-692-3,794,1449,698,921,748,649
mmu-mir-682,345,526,295,307,232,199
mmu-mir-3961,0,0,0,0,0,0
mmu-mir-9-2,0,0,3,0,0,0
mmu-mir-5624,0,0,0,0,1,0
mmu-mir-582,2,0,2,2,0,0
mmu-mir-1904,0,0,0,0,0,0
mmu-mir-449c,0,0,0,0,0,0
mmu-mir-449b,0,0,0,0,0,0
mmu-mir-449a,0,0,0,0,0,0
mmu-mir-5124b,0,0,0,0,0,0
mmu-mir-6946,1,0,0,0,0,0
mmu-mir-7210,0,0,0,0,0,0
mmu-mir-3075,0,0,0,0,0,0
mmu-mir-7672,0,0,1,0,0,0
mmu-mir-6947,0,0,0,0,0,0
mmu-mir-3076,2,3,4,0,3,6
mmu-mir-346,0,0,0,0,0,0
mmu-mir-327,0,0,0,0,0,0
mmu-mir-5131,6,6,3,0,2,2
mmu-mir-378c,200,206,155,236,152,180
mmu-mir-686,3,2,2,9,1,4
mmu-mir-6948,0,1,0,0,1,0
mmu-mir-208a,0,0,0,0,0,0
mmu-mir-208b,0,0,0,0,0,0
mmu-mir-6949,0,0,0,0,0,0
mmu-mir-3077,0,0,3,1,0,0
mmu-mir-719,0,2,0,0,0,0
mmu-mir-16-1,150,160,153,182,125,201
mmu-mir-15a,38,41,43,21,14,27
mmu-mir-8098,1,4,2,6,6,6
mmu-mir-6541,0,0,0,0,0,0
mmu-mir-598,0,4,0,4,6,6
mmu-mir-124-1,0,0,1,0,0,0
mmu-mir-3078,0,0,0,0,0,0
mmu-mir-6539,0,0,3,0,0,2
mmu-mir-6950,0,0,0,0,0,0
mmu-mir-320,73,75,71,48,53,61
mmu-mir-687,0,0,0,0,0,0
mmu-mir-1971,0,0,0,0,0,0
mmu-mir-759,0,0,0,0,0,0
mmu-mir-5130,5,6,5,6,4,4
mmu-mir-6390,1,3,0,0,1,0
mmu-mir-17,221,221,170,160,107,124
mmu-mir-18a,23,39,29,23,20,28
mmu-mir-19a,201,294,240,243,247,261
mmu-mir-20a,20,20,12,15,15,10
mmu-mir-19b-1,334,497,390,402,413,416
mmu-mir-92a-1,793,943,725,475,297,444
mmu-mir-6239,1,1,0,0,1,0
mmu-mir-6241,0,0,0,0,0,0
mmu-mir-6391,0,0,0,0,0,0
mmu-mir-1898,0,0,0,0,0,0
mmu-mir-7212,0,0,0,0,0,0
mmu-mir-7117,1,0,2,0,0,0
mmu-mir-3964,0,0,0,1,0,0
mmu-mir-599,0,0,0,0,0,0
mmu-mir-875,0,0,0,0,0,0
mmu-mir-8097,0,1,2,2,0,0
mmu-mir-6951,2,0,1,0,0,0
mmu-mir-1907,0,0,0,1,0,0
mmu-mir-28c,2,2,5,9,5,8
mmu-mir-30b,25,25,21,27,21,38
mmu-mir-30d,47,64,39,55,40,71
mmu-mir-151,172,242,175,178,280,244
mmu-mir-6952,0,1,0,0,1,1
mmu-mir-1942,0,0,0,0,0,0
mmu-mir-6953,2,5,0,2,2,3
mmu-mir-3079,0,0,0,0,0,0
mmu-mir-6954,0,2,1,0,0,0
mmu-mir-7676-1,1,0,0,0,0,0
mmu-mir-7676-2,1,0,0,0,0,0
mmu-mir-6955,0,0,0,0,0,0
mmu-mir-6956,0,1,0,0,0,0
mmu-mir-1943,1,1,0,1,0,0
mmu-mir-7213,2,3,1,3,5,3
mmu-mir-6957,0,0,0,0,0,0
mmu-mir-5113,4,0,3,0,0,2
mmu-mir-33,1,9,7,3,5,6
mmu-mir-7684,0,0,0,0,0,0
mmu-mir-3080,0,0,0,0,0,0
mmu-mir-6392,0,0,0,0,0,0
mmu-mir-1249,17,26,16,24,17,25
mmu-let-7c-2,11046,16206,11309,14118,15088,15086
mmu-let-7b,4558,6848,4601,5093,5629,5430
mmu-mir-6393,0,0,0,0,0,0
mmu-mir-7118,0,0,0,0,1,0
mmu-mir-6958,0,1,0,0,0,0
mmu-mir-6959,2,1,0,2,0,1
mmu-mir-7648,2,1,0,3,1,0
mmu-mir-1291,136,266,161,161,175,181
mmu-mir-6960,0,1,0,6,0,1
mmu-mir-6961,0,0,0,0,0,0
mmu-mir-6962,0,0,0,0,0,0
mmu-mir-1941,0,0,0,0,2,0
mmu-mir-688,1,4,6,1,0,3
mmu-mir-196a-2,1,7,1,5,3,2
mmu-mir-615,6,6,7,2,4,4
mmu-mir-148b,18,19,20,17,5,27
mmu-mir-6963,0,0,0,0,0,0
mmu-mir-6364,0,0,0,0,0,0
mmu-mir-1945,0,0,0,0,0,0
mmu-mir-193b,0,2,2,0,0,0
mmu-mir-365-1,41,66,53,32,19,52
mmu-mir-6365,0,0,0,0,0,0
mmu-mir-484,105,122,75,71,49,118
mmu-mir-130b,589,737,585,582,538,537
mmu-mir-301b,37,45,43,38,48,27
mmu-mir-6366,0,0,0,0,0,0
mmu-mir-1306,41,47,39,29,25,33
mmu-mir-3618,0,0,0,0,1,0
mmu-mir-185,129,143,117,140,103,122
mmu-mir-1224,0,0,1,0,1,2
mmu-mir-7680,0,0,0,0,0,0
mmu-mir-8095,0,0,0,0,0,0
mmu-mir-6362,0,0,0,0,0,0
mmu-mir-28a,103,158,102,149,149,147
mmu-mir-690,20,51,28,38,36,40
mmu-mir-1946a,0,0,0,0,0,0
mmu-mir-1947,0,0,0,0,0,0
mmu-mir-6540,0,0,0,0,0,0
mmu-mir-568,0,0,0,0,0,0
mmu-mir-3470b,0,0,0,0,0,0
mmu-mir-3081,0,0,0,0,0,1
mmu-mir-6363,0,0,0,0,0,0
mmu-mir-5118,0,0,0,0,0,0
mmu-mir-691,0,0,0,0,0,0
mmu-mir-99a,0,2,2,0,0,1
mmu-let-7c-1,10950,15950,11153,13936,14849,14954
mmu-mir-125b-2,14,22,17,12,10,15
mmu-mir-155,7,8,9,10,9,18
mmu-mir-6367,0,0,0,0,2,0
mmu-mir-802,0,0,0,0,0,0
mmu-mir-6964,0,0,1,0,0,0
mmu-mir-692-1,487,821,384,571,474,337
mmu-mir-99b,0,0,0,0,0,0
mmu-let-7e,6534,9329,6842,9176,9885,9843
mmu-mir-125a,0,0,1,0,0,0
mmu-mir-5125,1,0,0,0,0,0
mmu-mir-5134,0,0,1,0,0,0
mmu-mir-6965,0,0,2,0,1,0
mmu-mir-3547,0,0,0,0,0,0
mmu-mir-6966,0,0,0,0,0,0
mmu-mir-3082,1,1,0,0,0,2
mmu-mir-6967-1,0,3,0,0,0,1
mmu-mir-6968,0,0,0,0,0,0
mmu-mir-3083,0,1,0,0,0,0
mmu-mir-7677,0,0,0,0,0,0
mmu-mir-7214,0,0,0,0,0,0
mmu-mir-7216,0,0,0,0,0,0
mmu-mir-7217,0,0,0,0,0,0
mmu-mir-7218,0,0,0,0,0,0
mmu-mir-6969,0,0,0,0,0,0
mmu-mir-7667,0,0,0,0,0,0
mmu-mir-6967-2,0,3,0,0,0,1
mmu-mir-219a-1,2,2,5,0,0,2
mmu-mir-219c,0,1,1,0,0,0
mmu-mir-6971,3,0,0,3,0,0
mmu-mir-6970,1,0,1,0,0,0
mmu-mir-6972,0,0,0,0,0,0
mmu-mir-6973a,0,0,0,0,0,0
mmu-mir-6974,0,0,0,0,0,0
mmu-mir-6975,1,0,0,1,0,2
mmu-mir-8094,1,0,1,0,1,0
mmu-mir-1894,0,0,0,0,0,0
mmu-mir-877,152,174,132,171,169,168
mmu-mir-693,0,0,0,0,1,0
mmu-mir-6976,0,2,0,0,2,1
mmu-mir-7b,90,78,70,132,67,93
mmu-mir-6977,0,0,0,1,0,0
mmu-mir-6978,0,0,0,1,0,0
mmu-mir-6420,0,0,0,0,0,0
mmu-mir-5709,0,0,0,0,0,0
mmu-mir-1195,0,0,0,1,0,0
mmu-mir-1893,2,2,0,1,0,2
mmu-mir-133a-1,0,0,0,0,0,0
mmu-mir-1b,2,5,1,0,0,1
mmu-mir-1a-2,0,1,0,0,1,2
mmu-mir-1901,0,2,0,0,0,0
mmu-mir-1948,0,0,0,0,0,0
mmu-mir-6360,0,0,0,0,0,0
mmu-mir-187,0,0,0,0,0,0
mmu-mir-6361,0,0,0,0,0,0
mmu-mir-1949,1258,3228,1505,1918,2263,2253
mmu-mir-6979,0,0,0,0,0,0
mmu-mir-6981,2,3,0,1,0,1
mmu-mir-6980,0,0,1,1,0,0
mmu-mir-1258,0,0,0,0,0,0
mmu-mir-6355,0,0,0,0,0,0
mmu-mir-5107,2,5,3,2,3,2
mmu-mir-7220,0,0,0,0,0,0
mmu-mir-6982,0,0,0,0,0,0
mmu-mir-6983,0,0,0,1,0,0
mmu-mir-378a,391,441,338,431,262,356
mmu-mir-145a,0,0,0,0,0,0
mmu-mir-143,0,1,0,0,0,0
mmu-mir-122,1,0,0,0,0,0
mmu-mir-694,0,0,0,0,0,0
mmu-mir-7219,1,1,2,2,0,0
mmu-mir-6356,0,0,0,0,0,0
mmu-mir-145b,0,0,0,0,0,0
mmu-mir-6357,0,0,0,0,0,0
mmu-mir-6358,0,0,0,0,0,0
mmu-mir-5127,0,0,0,0,0,0
mmu-mir-5112,0,1,0,0,0,0
mmu-mir-6359,0,0,1,0,0,0
mmu-mir-6984,0,2,2,0,1,1
mmu-mir-6985,0,1,0,2,1,2
mmu-mir-6986,0,2,0,2,0,0
mmu-mir-6987,1,0,0,0,1,0
mmu-mir-6988,0,2,0,0,1,2
mmu-mir-194-2,11,7,3,1,2,4
mmu-mir-192,6,7,6,4,4,6
mmu-mir-6989,0,1,0,0,0,0
mmu-mir-5046,0,0,0,0,0,0
mmu-mir-6990,0,0,0,0,0,0
mmu-mir-6991,0,1,0,0,0,0
mmu-mir-6992,0,0,0,0,0,0
mmu-mir-5136,138,269,155,132,134,136
mmu-mir-6993,0,0,0,0,0,1
mmu-mir-6994,0,0,3,3,0,0
mmu-mir-496b,0,0,0,0,0,0
mmu-mir-204,0,0,0,0,0,0
mmu-mir-1192,0,0,0,0,0,0
mmu-mir-3084-1,850,1417,909,1007,918,1257
mmu-mir-101b,41,45,26,31,59,45
mmu-mir-3970,3,1,6,7,2,2
mmu-mir-107,102,88,81,84,54,63
mmu-mir-1950,0,0,0,0,0,0
mmu-mir-8092,1,0,0,1,0,1
mmu-mir-8091,5,0,0,0,0,0
mmu-mir-3085,0,0,0,0,0,0
mmu-mir-5114,12,14,17,9,17,18
mmu-mir-6405,0,0,0,0,0,0
mmu-mir-146b,286,384,291,453,402,554
mmu-mir-6995,0,0,0,0,0,0
mmu-mir-8090,0,0,0,0,0,0
mmu-mir-6407,0,0,0,0,0,0
mmu-mir-6715,0,0,0,0,0,0
mmu-mir-5623,0,0,0,0,0,0
mmu-mir-3086,2,0,1,0,0,0
mmu-mir-3084-2,848,1419,910,1002,919,1259
mmu-mir-466m,11,17,14,16,8,15
mmu-mir-466f-1,15,6,7,7,5,1
mmu-mir-669f,122,114,87,86,70,77
mmu-mir-669e,9,5,6,6,8,17
mmu-mir-669b,21,18,26,18,16,23
mmu-mir-669d,19,27,23,33,33,37
mmu-mir-466f-2,27,13,16,23,12,13
mmu-mir-669l,113,146,99,131,158,169
mmu-mir-669d-2,24,24,21,35,36,38
mmu-mir-466f-3,29,24,17,33,24,19
mmu-mir-297a-2,28,35,35,34,21,28
mmu-mir-466o,32,29,16,17,25,23
mmu-mir-467c,51,71,42,63,50,46
mmu-mir-466b-1,317,311,261,340,236,297
mmu-mir-669a-3,89,103,82,100,80,99
mmu-mir-669k,2,2,0,5,2,0
mmu-mir-467a-1,189,232,193,277,186,244
mmu-mir-466b-8,361,328,260,343,244,278
mmu-mir-669a-1,298,274,230,249,192,245
mmu-mir-669g,0,0,0,0,0,0
mmu-mir-669j,5,7,4,0,1,1
mmu-mir-467a-2,187,238,184,242,172,244
mmu-mir-466e,377,311,261,361,254,287
mmu-mir-669a-4,326,273,232,221,178,249
mmu-mir-467b,81,108,54,114,78,93
mmu-mir-466c-1,539,488,466,502,331,363
mmu-mir-669a-5,345,267,208,248,187,270
mmu-mir-467a-3,210,254,179,266,153,226
mmu-mir-466c-2,517,513,450,475,318,342
mmu-mir-669a-6,332,285,228,239,189,262
mmu-mir-467a-4,224,248,214,245,172,237
mmu-mir-466b-4,319,318,219,328,238,264
mmu-mir-669a-7,317,301,224,263,167,245
mmu-mir-467a-5,213,243,188,263,155,210
mmu-mir-466b-5,333,277,260,329,226,270
mmu-mir-669p-1,94,96,71,92,98,106
mmu-mir-467a-6,196,240,210,253,161,273
mmu-mir-466c-3,542,495,446,467,332,364
mmu-mir-669a-8,292,291,236,252,189,265
mmu-mir-467a-7,202,253,191,235,167,232
mmu-mir-466b-6,315,278,234,352,218,287
mmu-mir-669a-9,340,284,246,247,181,251
mmu-mir-467a-8,214,239,195,267,167,238
mmu-mir-466b-7,344,296,264,361,233,257
mmu-mir-669p-2,94,119,96,97,101,131
mmu-mir-467a-9,192,252,194,242,178,244
mmu-mir-466b-2,325,314,255,335,237,294
mmu-mir-669a-10,307,305,225,203,186,240
mmu-mir-669a-11,338,287,221,237,187,265
mmu-mir-467a-10,193,243,191,235,179,229
mmu-mir-466b-3,286,247,212,298,175,226
mmu-mir-669a-12,356,287,208,217,181,266
mmu-mir-467e,113,130,120,138,125,123
mmu-mir-466p,309,292,272,339,226,258
mmu-mir-467d,175,210,150,193,140,159
mmu-mir-466a,275,289,252,332,213,267
mmu-mir-297c,164,221,174,190,139,205
mmu-mir-669c,1086,1447,1015,1248,1333,1286
mmu-mir-669a-2,341,270,231,247,205,254
mmu-mir-297b,178,193,179,188,158,188
mmu-mir-466d,233,213,221,220,139,162
mmu-mir-669m-1,36,44,28,33,19,31
mmu-mir-669m-2,35,48,26,31,22,31
mmu-mir-466n,60,57,67,49,44,40
mmu-mir-669o,323,311,227,226,211,261
